slug,desa,kecamatan,kabupaten,provinsi,last_scraped,hero_ada_foto,pengurus_jumlah_foto,pengurus_jumlah_orang,unit_usaha_ada_data,unit_usaha_jumlah_foto,unit_usaha_jumlah_foto_unik,produk_usaha_jumlah_foto,produk_usaha_jumlah_foto_unik,galeri_jumlah_foto,galeri_jumlah_foto_unik,galeri_skor,artikel_jumlah_foto,artikel_jumlah_foto_unik,completeness_score,scrape_incomplete,potensi_jumlah_terisi,penduduk_laki_laki,penduduk_perempuan,penduduk_total,potensi_nilai_total_rp,potensi_sdm_total,potensi_jumlah_jenis,kode_desa,artikel_tanggal_lokal_terbaru,artikel_hari_sejak_update_lokal,artikel_jumlah_lokal,artikel_jumlah_nasional,artikel_ada_nasional,tentang_ada_konten,potensi_ada_data,pengurus_terisi,pengurus_foto_asli,produk_usaha_ada,artikel_ada_lokal,pengurus_data_belum_ada,personel_completeness,keaktifan_score,kelengkapan_usaha_score,kopdes_density_kecamatan,penduduk_total_calc,penduduk_data_konsisten,kopdes_per_1000_penduduk,kopdes_per_1000_penduduk_log,kopdes_lq_kecamatan,personel_completeness_zscore_kabupaten,keaktifan_score_zscore_kabupaten,kelengkapan_usaha_score_zscore_kabupaten,digital_readiness_score,potensi_nilai_outlier_suspect,potensi_nilai_total_rp_capped,lof_outlier,pengurus_jumlah_foto_capped,unit_usaha_jumlah_foto_capped,unit_usaha_jumlah_foto_unik_capped,produk_usaha_jumlah_foto_capped,produk_usaha_jumlah_foto_unik_capped,galeri_jumlah_foto_capped,galeri_jumlah_foto_unik_capped,artikel_jumlah_foto_capped,artikel_jumlah_foto_unik_capped,potensi_sdm_total_capped,penduduk_total_capped,cluster_k7,publikasi_konten_score,kelengkapan_profil_score,indeks_digitalisasi_operasional,log_potensi_nilai,log_potensi_jumlah
a-yani-pura-kecamatan-binuang,A. Yani Pura,Binuang,Kabupaten Tapin,Kalimantan Selatan,2026-07-23 13:37:55,False,0,6,False,0,0,0,0,0,0,0,0,0,15.0,False,0,129,1332,2622,0,0,0,63.05.01.2006,,,0,3,True,False,False,True,False,False,False,False,0.0,0.0,0.0,8,1461,False,0.20092425155716295,0.1830914699657,2.286,-0.867,-0.305,-0.393,0.0,False,0.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2622.0,5,0.0,0.0,0.0,0.0,0.0
abadi-jaya-kecamatan-maginti,Abadi Jaya,Maginti,Kabupaten Muna Barat,Sulawesi Tenggara,2026-07-23 14:09:55,False,0,6,True,1,1,0,0,20,1,1,0,0,41.0,False,7,7010,7110,1412,3000000000,185,7,74.13.06.2004,,,0,3,True,False,True,True,False,False,False,False,0.0,0.02882,0.5444666666666667,3,14120,False,0.06989748369058714,0.06756283424881325,1.105,-0.51,0.13,0.561,0.200417308,False,3000000000.0,False,0,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,185.0,1412.0,3,0.0,0.0,0.11695143999999999,21.821878125947855,2.0794415416798357
abar-abir-kecamatan-bungah,Abar-abir,Bungah,Kabupaten Gresik,Jawa Timur,2026-07-23 12:51:41,True,6,6,True,1,1,0,0,20,1,1,1,1,71.0,False,4,1059,1067,2126,4222470000,164,4,35.25.12.2011,,,0,1,True,True,True,True,True,False,False,False,1.0,0.20072,0.5444666666666667,9,2126,True,0.12588821126839367,0.11857224527598971,1.286,0.578,0.307,0.036,0.693056168,False,4222470000.0,False,6,1.0,1.0,0.0,0.0,20.0,1.0,1.0,1.0,164.0,2126.0,0,0.2688,1.0,0.80149208,22.16368610206208,1.6094379124341003
abason-kecamatan-totikum,Abason,Totikum,Kabupaten Banggai Kepulauan,Sulawesi Tengah,2026-07-23 13:53:24,False,0,6,False,0,0,0,0,0,0,0,0,0,30.0,False,1,5760,5940,117,1,30,1,72.07.03.2015,,,0,3,True,False,True,True,False,False,False,False,0.0,0.0,0.0,10,11700,False,0.12871338104309324,0.12107838317903243,2.143,-0.414,-0.351,-0.513,0.0,False,1.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,117.0,1,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453
abbanuange-kecamatan-lilirilau,Abbanuange,Lilirilau,Kabupaten Soppeng,Sulawesi Selatan,2026-07-23 13:59:33,True,0,5,True,1,1,0,0,20,1,1,0,0,46.0,False,0,1647,181,3457,0,0,0,73.12.03.2005,,,0,3,True,True,False,True,False,False,False,False,0.0,0.02882,0.5444666666666667,12,1828,False,0.169548999660902,0.15661820412156466,1.391,-0.59,0.321,0.772,0.200417308,False,0.0,False,0,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,3457.0,6,0.0,1.0,0.40565144,0.0,0.0
abbumpungeng-kecamatan-cina,Abbumpungeng,Cina,Kabupaten Bone,Sulawesi Selatan,2026-07-23 13:58:08,False,0,6,False,0,0,0,0,0,0,0,0,0,40.0,False,1,1823,1829,3652,455,2,1,73.08.10.2008,,,0,3,True,True,True,True,False,False,False,False,0.0,0.0,0.0,4,3652,True,0.1998201618543311,0.18217168044166449,0.907,-0.875,-0.313,-0.647,0.0,False,455.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3652.0,1,0.0,0.4748,0.13707476000000002,6.1224928095143865,0.6931471805599453
abbumpungeng-kecamatan-kajuara,Abbumpungeng,Kajuara,Kabupaten Bone,Sulawesi Selatan,2026-07-23 13:57:23,False,0,6,False,0,0,0,0,0,0,0,0,0,15.0,False,0,8330,8360,1669,0,0,0,73.08.03.2003,,,0,3,True,False,False,True,False,False,False,False,0.0,0.0,0.0,5,16690,False,0.10313744095381507,0.09815833899440188,1.134,-0.875,-0.313,-0.647,0.0,False,0.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1669.0,5,0.0,0.0,0.0,0.0,0.0
abean-kecamatan-kei-kecil-timur,Abean,Kei Kecil Timur,Kabupaten Maluku Tenggara,Maluku,2026-07-23 14:16:08,False,0,6,False,0,0,0,0,0,0,0,0,0,40.0,False,1,2550,2790,5340,50000000,50,1,81.02.13.2005,,,0,3,True,True,True,True,False,False,False,False,0.0,0.0,0.0,6,5340,True,0.1568627450980392,0.14571181118139367,0.968,-0.434,-0.158,-0.258,0.0,False,50000000.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,5340.0,1,0.0,0.4748,0.13707476000000002,17.72753358339242,0.6931471805599453
abi-kecamatan-oenino,Abi,Oenino,Kabupaten Timor Tengah Selatan,Nusa Tenggara Timur,2026-07-23 13:22:14,False,0,8,False,0,0,0,0,0,0,0,0,0,15.0,False,0,6300,6420,1272,0,0,0,53.02.18.2007,,,0,3,True,False,False,True,False,False,False,False,0.0,0.0,0.0,2,12720,False,0.12907389480477574,0.1213977345799398,1.128,-0.285,-0.398,-0.42,0.0,False,0.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1272.0,5,0.0,0.0,0.0,0.0,0.0
abianbase-kecamatan-gianyar,Abianbase,Gianyar,Kabupaten Gianyar,Bali,2026-07-23 13:16:43,False,0,3,True,0,0,0,0,0,0,0,0,0,25.0,False,0,3721,3789,751,0,0,0,51.04.03.1005,,,0,3,True,False,False,True,False,False,False,False,0.0,0.0,0.4623,3,7510,False,0.16998130205677375,0.15698776753390822,1.8,-0.316,-1.585,-0.201,0.16562208,False,0.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,751.0,6,0.0,0.0,0.09930204,0.0,0.0
