text,username,code,like_count,url,is_root,chain_id,reply_depth,chain_id_global,reply_count,repost_count,gambar_urls,url_asal_scrape,teks_root,sentimen,kategori_alasan
"Koperasi Desa Merah Putih di Kawasan Desa Sikanco, Cilacap, terlihat ramai oleh pelanggan, namun ternyata itu bukan belanja atau melihat-lihat barang.

Warga yang datang ternyata ingin melihat pertandingan badminton yang dimana mereka memakai Gedung KDMP ini untuk aktivitas tersebut.

Waduh der, gimana menurut kalian nih?

Source: X/SobatMiskinTV",ruzzmedia,Db0lBUzCR-h,0,https://www.threads.com/@ruzzmedia/post/Db0lBUzCR-h,True,0,0,Db0lBUzCR-h::0,0,0.0,https://instagram.fcgk6-3.fna.fbcdn.net/v/t51.82787-15/767508280_17928242916384587_3643395654959757399_n.heic?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=Mzk1OTk1Mjc3NDg0NjMyMDU0NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=C8tp4cKVV4YQ7kNvwGvbx6L&_nc_oc=Adrc8Hifxyq9PW2v_1p7a1cZc3wmuJUuoRShaxK8pNYIXZPD6V8cJCgQ3DJ7ihszeXLxj5yulVPSDm5djQVBbH7Z&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgk6-3.fna&_nc_gid=CcAxJD9IFua0w4OWvySzAg&_nc_ss=7a22e&oh=00_AQEnFQ7EplmmNOakN1GuUIqXVXaJev4kMrYZn_t-nf-AUw&oe=6A7E8B4D; https://instagram.fcgk6-3.fna.fbcdn.net/v/t51.82787-15/767508280_17928242916384587_3643395654959757399_n.heic?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=Mzk1OTk1Mjc3NDg0NjMyMDU0NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=C8tp4cKVV4YQ7kNvwGvbx6L&_nc_oc=Adrc8Hifxyq9PW2v_1p7a1cZc3wmuJUuoRShaxK8pNYIXZPD6V8cJCgQ3DJ7ihszeXLxj5yulVPSDm5djQVBbH7Z&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgk6-3.fna&_nc_gid=CcAxJD9IFua0w4OWvySzAg&_nc_ss=7a22e&oh=00_AQEnFQ7EplmmNOakN1GuUIqXVXaJev4kMrYZn_t-nf-AUw&oe=6A7E8B4D; https://instagram.fcgk6-3.fna.fbcdn.net/v/t51.82787-15/768586613_17928242925384587_4707300553483505458_n.heic?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzk1OTk1Mjc3NDg0NjMxNDU5MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=OiFxvI3AKHYQ7kNvwFUtOMJ&_nc_oc=AdrOiTUAUOTW5rlPDqjCc93DjlQL20HuydZMRonwTwMo3ZigSzEwrvLnJC28uSxdF-QFSw1_uXemHxio4_KwWicE&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgk6-3.fna&_nc_gid=CcAxJD9IFua0w4OWvySzAg&_nc_ss=7a22e&oh=00_AQFVc3z4NBwJXVFLIt7Q7W0BWduMOjEHSk2tqDJxZHFz2Q&oe=6A7E9664,https://www.threads.com/@ruzzmedia/post/Db0lBUzCR-h,"Koperasi Desa Merah Putih di Kawasan Desa Sikanco, Cilacap, terlihat ramai oleh pelanggan, namun ternyata itu bukan belanja atau melihat-lihat barang.

Warga yang datang ternyata ingin melihat pertandingan badminton yang dimana mereka memakai Gedung KDMP ini untuk aktivitas tersebut.

Waduh der, gimana menurut kalian nih?

Source: X/SobatMiskinTV",,
Bayangin Jalan tol dikelola koperasi desa merah putih tidak seperti sekarang... Anggotanya masyarakat warga yg terdampak jalan tol keuntungan masuk ke masyarakat.. Sayangnya jalan tol hanya boleh dikuasai konglomerasi.,anindityodwi,Db0VQxxE-SJ,0,https://www.threads.com/@anindityodwi/post/Db0VQxxE-SJ,True,0,0,Db0VQxxE-SJ::0,8,0.0,,https://www.threads.com/@anindityodwi/post/Db0VQxxE-SJ,Bayangin Jalan tol dikelola koperasi desa merah putih tidak seperti sekarang... Anggotanya masyarakat warga yg terdampak jalan tol keuntungan masuk ke masyarakat.. Sayangnya jalan tol hanya boleh dikuasai konglomerasi.,,
"Wakil Bupati Kepulauan Meranti, Muzamil Baharudin, menyambut dan mengapresiasi pelaksanaan Ekspedisi Merah Putih Presisi Polda Riau di Kabupaten Kepulauan Meranti. Kegiatan tersebut berlangsung di wilayah pesisir Desa Tanah Merah, Kecamatan Rangsang Pesisir, Sabtu (8/8/2026).

.
.
.

🔎 Baca berita selengkapnya di:
🌐 merantikab.go.id

#PemerintahKabupatenKepulauanMeranti
#merantiunggulagamisdansejahtera",diskominfotik_merantikab,Db0guN1HVqL,0,https://www.threads.com/@diskominfotik_merantikab/post/Db0guN1HVqL,True,0,0,Db0guN1HVqL::0,0,0.0,https://instagram.fcgk6-2.fna.fbcdn.net/v/t51.82787-15/770302497_18088765391548813_4116138574571102128_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzk1OTkzMzg3MTk4MzUzNzM5Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=cvP9aoy3vRgQ7kNvwHjSbl8&_nc_oc=Adpxal_hJuM9pI3Uz3g7tOMGQG0uoMK6XJiQvxs2iSmieragTgXisXXeUHUFwDrvhE11HaPkvM44MX-7XBerAsj6&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgk6-2.fna&_nc_gid=EOa4L__9nx9lBZ_kOZ5NCQ&_nc_ss=7a22e&oh=00_AQGQ4R98s9WkMq4QSxtmUGjsa8bE3LgnoTooDF1URMwD-w&oe=6A7E7143; https://instagram.fcgk6-2.fna.fbcdn.net/v/t51.82787-15/770302497_18088765391548813_4116138574571102128_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzk1OTkzMzg3MTk4MzUzNzM5Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=cvP9aoy3vRgQ7kNvwHjSbl8&_nc_oc=Adpxal_hJuM9pI3Uz3g7tOMGQG0uoMK6XJiQvxs2iSmieragTgXisXXeUHUFwDrvhE11HaPkvM44MX-7XBerAsj6&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgk6-2.fna&_nc_gid=EOa4L__9nx9lBZ_kOZ5NCQ&_nc_ss=7a22e&oh=00_AQGQ4R98s9WkMq4QSxtmUGjsa8bE3LgnoTooDF1URMwD-w&oe=6A7E7143; https://instagram.fcgk6-3.fna.fbcdn.net/v/t51.82787-15/770678951_18088765409548813_5162521873372699824_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzk1OTkzMzg3MTg5OTY0ODM2NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=4DtI4lNc4n0Q7kNvwEZGDm0&_nc_oc=Adq8HmGCsjpUpMS-mEZ0ce_Qzg600tP7WlIvdtk0-Q2NNiempG9loiske7soVarkc_GQvz_3O7CA5PWEYLzaUwDP&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgk6-3.fna&_nc_gid=EOa4L__9nx9lBZ_kOZ5NCQ&_nc_ss=7a22e&oh=00_AQG0iv83kNZICSsspV7q6Y8uKwVXH8pQvnBvY8yrQAqs7g&oe=6A7E7FA5; https://instagram.fcgk6-2.fna.fbcdn.net/v/t51.82787-15/769527968_18088765436548813_4592130779910809618_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzk1OTkzMzg3MzQ1MTU0MzM5Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=wIhvKD7dukUQ7kNvwFm9ovY&_nc_oc=Ado2W3uXsc4X6HAYMSQ8xL-RzCZeZwb_JU4B6P6qwAwe6i2NArwC_Qt6WHKp1AqIfH0PJtkQjmfnn_dn1-VnrWiF&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgk6-2.fna&_nc_gid=EOa4L__9nx9lBZ_kOZ5NCQ&_nc_ss=7a22e&oh=00_AQEj67-cBs7X8KyHSbzmsC0JVT9W3ykqCiMuGq320o-j2A&oe=6A7E8A96; https://instagram.fcgk6-2.fna.fbcdn.net/v/t51.82787-15/771969001_18088765418548813_4331080485569175475_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzk1OTkzMzg3Mjk2NDk3NjY4MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=1Bq1Afj1NgEQ7kNvwHbGJyO&_nc_oc=AdoI-N_RXzQ-V282mfqrzTVG74CRVhSp13rnYxv0Rzhx6ZQEckdHYs_bbQcnyWa6b2Hzjbuxu5QwQh3JNdYTv4j7&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgk6-2.fna&_nc_gid=EOa4L__9nx9lBZ_kOZ5NCQ&_nc_ss=7a22e&oh=00_AQH4tmklc0Ww2P3nHm8rf2Dw7KZG926-1l7t6Bg211y6jw&oe=6A7E882E; https://instagram.fcgk6-3.fna.fbcdn.net/v/t51.82787-15/771013623_18088765445548813_2655204096281720394_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzk1OTkzMzg3MzIzMzQ1MDc3MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=T2qfI_fgkWUQ7kNvwH4vdeq&_nc_oc=AdqCjHFm1lqSH0jmJakEnO4xctDE9Xn4MywhSLaYoL7kCYeSnn12Y645vjC9wsIaPQxPidXt2YhUdAeI4xdtx-VS&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgk6-3.fna&_nc_gid=EOa4L__9nx9lBZ_kOZ5NCQ&_nc_ss=7a22e&oh=00_AQFBu9bUGF_JSrLzhCm5JeaRqB-mJ-JvAMIxR5WD7255GA&oe=6A7E6CB9,https://www.threads.com/@diskominfotik_merantikab/post/Db0guN1HVqL,"Wakil Bupati Kepulauan Meranti, Muzamil Baharudin, menyambut dan mengapresiasi pelaksanaan Ekspedisi Merah Putih Presisi Polda Riau di Kabupaten Kepulauan Meranti. Kegiatan tersebut berlangsung di wilayah pesisir Desa Tanah Merah, Kecamatan Rangsang Pesisir, Sabtu (8/8/2026).

.
.
.

🔎 Baca berita selengkapnya di:
🌐 merantikab.go.id

#PemerintahKabupatenKepulauanMeranti
#merantiunggulagamisdansejahtera",,
"Lagi dan lagi Koperasi Desa Merah Putih (KDMP) menuai kontroversi

Viral di Media Sosial Salah satu bangunan Koperasi Desa Merah Putih (KDMP) yang terletak di Desa Plosorejo, Kecamatan Kismantoro, wonogiri menjadi sosotan publik, karena dibangun di tengah hutan dan jauh dari permukiman warga.

Gimana tanggapan kalian? tulis di kolom komentar ya!!!

#windowtalks #viral #kdmp #prabowo #indonesia",windowtalks.id,DZexBWzEwIT,1835,https://www.threads.com/@windowtalks.id/post/DZexBWzEwIT,True,0,0,DZexBWzEwIT::0,343,236.0,https://instagram.fcgk6-2.fna.fbcdn.net/v/t51.71878-15/721208396_2572209196571760_895147092886241593_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=106&ig_cache_key=MzkxNzc4NDMyMzMzNjYzNDg5OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuNjQwLnNkci52aWRlb19kZWZhdWx0X2NvdmVyX2ZyYW1lLkMzIn0%3D&_nc_ohc=-RsQ9tEVbJ0Q7kNvwEEiHR1&_nc_oc=AdpJHfgBxAIFjrMoYC2phnM_M4OpJz0aAUimXnIU8ye_4b2OUtzG1FD7piM7yfnbYH8Y0xyKwVABtiHnDyILlGPQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgk6-2.fna&_nc_gid=5FGwmz9KMxz5RVvxW4xIlg&_nc_ss=7a22e&oh=00_AQExPYDWBLQ-jKijB-5nVBU8_J9U_tcYNhnWpraI2TxKxg&oe=6A7E912A,https://www.threads.com/@windowtalks.id/post/DZexBWzEwIT,"Lagi dan lagi Koperasi Desa Merah Putih (KDMP) menuai kontroversi

Viral di Media Sosial Salah satu bangunan Koperasi Desa Merah Putih (KDMP) yang terletak di Desa Plosorejo, Kecamatan Kismantoro, wonogiri menjadi sosotan publik, karena dibangun di tengah hutan dan jauh dari permukiman warga.

Gimana tanggapan kalian? tulis di kolom komentar ya!!!

#windowtalks #viral #kdmp #prabowo #indonesia",,
"MBG, koperasi desa merah putih untuk tempat bantuan pemerintah, sekolah rakyat, blok Masela. Jadi gak impor BBM lagi.",iswanto_asmorojoyo,Db0g4tdGbRw,1,https://www.threads.com/@iswanto_asmorojoyo/post/Db0g4tdGbRw,True,0,1,Db0g4tdGbRw::0,0,0.0,,https://www.threads.com/@iswanto_asmorojoyo/post/Db0g4tdGbRw,"MBG, koperasi desa merah putih untuk tempat bantuan pemerintah, sekolah rakyat, blok Masela. Jadi gak impor BBM lagi.",,
"Anggota Komisi VII DPR RI, Yoyok Riyo Sudibyo, melayangkan kritik keras terhadap konsep Koperasi Desa (Kopdes) Merah Putih dalam rapat kerja bersama Menteri UMKM di Kompleks Parlemen, Senayan, Kamis (11/6/2026).

Yoyok menilai, Kopdes Merah Putih saat ini terlalu banyak menjual produk pabrikan, sehingga terkesan hanya sekadar ""pindah nama"" dari minimarket modern yang sudah ada.

Redaktur: Cholis Anwar

#murianews #komiaiviidprri #kdmp #kopdesmerahputih #koperasidesamerahputih",murianewscom,DZhMofdFQ-b,1523,https://www.threads.com/@murianewscom/post/DZhMofdFQ-b,True,0,0,DZhMofdFQ-b::0,75,120.0,https://instagram.fcgk6-3.fna.fbcdn.net/v/t51.71878-15/724148239_970586539092882_4819709251869540281_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=111&ig_cache_key=MzkxODQ2ODcwOTkwMDE2MDkyMw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuNjQwLnNkci52aWRlb19kZWZhdWx0X2NvdmVyX2ZyYW1lLkMzIn0%3D&_nc_ohc=ZbtmVBKhw2EQ7kNvwGFoVia&_nc_oc=AdrJ7DUMHkUW8sBAGkz7t0-iTZ65rSO8BiHDRqj5sT4ianKa-x7pLri51Jbo4EuQBQD0FBxdrek3Du5Q1D9rCYI7&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgk6-3.fna&_nc_gid=o6DC3zSFCNl1QggyUxQzVg&_nc_ss=7a22e&oh=00_AQHpPLLT-Zt6E2m7ZRMZ4nQtFWrxQ-81a75RprUeKg-R_w&oe=6A7E7F1D,https://www.threads.com/@murianewscom/post/DZhMofdFQ-b,"Anggota Komisi VII DPR RI, Yoyok Riyo Sudibyo, melayangkan kritik keras terhadap konsep Koperasi Desa (Kopdes) Merah Putih dalam rapat kerja bersama Menteri UMKM di Kompleks Parlemen, Senayan, Kamis (11/6/2026).

Yoyok menilai, Kopdes Merah Putih saat ini terlalu banyak menjual produk pabrikan, sehingga terkesan hanya sekadar ""pindah nama"" dari minimarket modern yang sudah ada.

Redaktur: Cholis Anwar

#murianews #komiaiviidprri #kdmp #kopdesmerahputih #koperasidesamerahputih",,
"Inilah jawaban dari salah paham terbesar program Koperasi Desa / Kelurahan Merah Putih.🇮🇩

Mari simak penjelasan Photo di atas tentang Koperasi Merah Putih",rocky_candra12,Db02mSjE48w,1,https://www.threads.com/@rocky_candra12/post/Db02mSjE48w,True,0,0,Db02mSjE48w::0,0,0.0,https://instagram.fcgk6-3.fna.fbcdn.net/v/t51.82787-15/769470697_18487264285096001_5473507407808372073_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzk2MDAzMDA5ODEzMzA2MTQyNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTUzNi5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=UBp5oE_UIVcQ7kNvwGiYNYn&_nc_oc=AdpncrbRTcahTkH_ivFsUTm32GfTKFGvUT3whHZ1hGFWT7tYWf27bJe7w0_hlra5RdJMahPpNcXe_UzrFkSCfz9A&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgk6-3.fna&_nc_gid=20DFFqXRzy862RBd-yE8yQ&_nc_ss=7a22e&oh=00_AQFDXZGsPC_1Fl1W9QK19yefW4OF7xpLVuwBgYV1pLMTIw&oe=6A7E94E0,https://www.threads.com/@rocky_candra12/post/Db02mSjE48w,"Inilah jawaban dari salah paham terbesar program Koperasi Desa / Kelurahan Merah Putih.🇮🇩

Mari simak penjelasan Photo di atas tentang Koperasi Merah Putih",,
"SEMUA KOPERASI DESA MERAH PUTIH dibangun untuk percepatan kemakmuran ekonomi warga desa, tidak ada tujuan hambat kesejahteraan karena Desa Berdaya Indonesia Berjaya 
#KDMPMenguatkanDesa
#TPPKerjaBerdampak
#KemendesaPDT
https://vt.tiktok.com/ZS4GbFgVX/",wahyuhanantopribadi,Db0z40Pk5EA,0,https://www.threads.com/@wahyuhanantopribadi/post/Db0z40Pk5EA,True,0,0,Db0z40Pk5EA::0,0,0.0,,https://www.threads.com/@wahyuhanantopribadi/post/Db0z40Pk5EA,"SEMUA KOPERASI DESA MERAH PUTIH dibangun untuk percepatan kemakmuran ekonomi warga desa, tidak ada tujuan hambat kesejahteraan karena Desa Berdaya Indonesia Berjaya 
#KDMPMenguatkanDesa
#TPPKerjaBerdampak
#KemendesaPDT
https://vt.tiktok.com/ZS4GbFgVX/",,
"Namun, mereka menilai penjelasan yang diberikan pihak pemerintah desa belum menjawab inti persoalan dan justru mengarah pada alasan bahwa semuanya telah dibahas melalui forum musyawarah. Tak hanya itu, muncul pula dugaan bahwa lahan yang menjadi sorotan akan digunakan dalam skema tukar guling yang dikaitkan dengan keberadaan Koperasi Desa Merah Putih. Hingga kini, informasi tersebut masih menjadi perbincangan di tengah masyarakat dan menunggu penjelasan resmi dari pihak-pihak terkait.",distriknews,Db05aLpk_Lf,0,https://www.threads.com/@distriknews/post/Db05aLpk_Lf,True,0,1,Db05aLpk_Lf::0,1,0.0,,https://www.threads.com/@distriknews/post/Db05aLpk_Lf,"Namun, mereka menilai penjelasan yang diberikan pihak pemerintah desa belum menjawab inti persoalan dan justru mengarah pada alasan bahwa semuanya telah dibahas melalui forum musyawarah. Tak hanya itu, muncul pula dugaan bahwa lahan yang menjadi sorotan akan digunakan dalam skema tukar guling yang dikaitkan dengan keberadaan Koperasi Desa Merah Putih. Hingga kini, informasi tersebut masih menjadi perbincangan di tengah masyarakat dan menunggu penjelasan resmi dari pihak-pihak terkait.",,
"Koperasi desa itu kan namanya usaha masa bangun usaha mau di tempat sepi penghuni yang enggak strategies? , kenapa? , apa yang penting bangun aja asal Dana keluar abis itu yaudah,",yhibatullah,Db0hEqJmvBm,0,https://www.threads.com/@yhibatullah/post/Db0hEqJmvBm,True,0,1,Db0hEqJmvBm::0,0,0.0,,https://www.threads.com/@yhibatullah/post/Db0hEqJmvBm,"Koperasi desa itu kan namanya usaha masa bangun usaha mau di tempat sepi penghuni yang enggak strategies? , kenapa? , apa yang penting bangun aja asal Dana keluar abis itu yaudah,",,
